-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     400.485ms        89.06%     400.485ms       7.556ms            53  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     148.046ms        32.92%     148.046ms      37.244us          3975  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     129.435ms        28.79%     129.435ms      16.501us          7844  
                  execute_context_1(62)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      41.806ms         9.30%      41.806ms      41.806ms             1  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us      32.287ms         7.18%      32.287ms       8.778us          3678  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      17.112ms         3.81%      17.112ms       4.527us          3780  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      13.082ms         2.91%      13.082ms       7.787us          1680  
                                        _C::marlin_gemm         0.76%       5.203ms         2.28%      15.607ms      56.342us      12.862ms         2.86%      12.862ms      46.435us           277  
                                        reduce_segments         0.00%       0.000us         0.00%       0.000us       0.000us       9.936ms         2.21%       9.936ms       2.732us          3637  
        triton_red_fused_add_marlin_gemm_mul_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us       6.949ms         1.55%       6.949ms       3.575us          1944  
            triton_red_fused_add_marlin_gemm_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us       6.773ms         1.51%       6.773ms       3.390us          1998  
                    vllm::unified_attention_with_output        15.51%     106.318ms        18.77%     128.700ms     205.920us       6.392ms         1.42%       6.392ms      10.227us           625  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us       6.377ms         1.42%       6.377ms      35.827us           178  
void at::native::sbtopk::gatherTopK<c10::BFloat16, u...         0.00%       0.000us         0.00%       0.000us       0.000us       6.122ms         1.36%       6.122ms      14.576us           420  
                        triton_red_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       5.235ms         1.16%       5.235ms       2.620us          1998  
                           _sparse_argmax_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.921ms         1.09%       4.921ms      11.716us           420  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.525ms         1.01%       4.525ms       5.970us           758  
