-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     374.191ms        87.49%     374.191ms       7.484ms            50  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     139.887ms        32.71%     139.887ms      37.303us          3750  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     122.030ms        28.53%     122.030ms      16.491us          7400  
                  execute_context_1(62)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      41.740ms         9.76%      41.740ms      41.740ms             1  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us      30.548ms         7.14%      30.548ms       8.771us          3483  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      16.084ms         3.76%      16.084ms       4.532us          3549  
                                        _C::marlin_gemm         0.75%       4.899ms         2.27%      14.889ms      54.338us      13.371ms         3.13%      13.371ms      48.799us           274  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      12.340ms         2.89%      12.340ms       7.835us          1575  
                                        reduce_segments         0.00%       0.000us         0.00%       0.000us       0.000us       9.449ms         2.21%       9.449ms       2.745us          3442  
        triton_red_fused_add_marlin_gemm_mul_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us       6.565ms         1.53%       6.565ms       3.576us          1836  
                    vllm::unified_attention_with_output        16.40%     107.724ms        19.70%     129.442ms     207.107us       6.412ms         1.50%       6.412ms      10.260us           625  
            triton_red_fused_add_marlin_gemm_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us       6.403ms         1.50%       6.403ms       3.393us          1887  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us       6.391ms         1.49%       6.391ms      35.907us           178  
void at::native::sbtopk::gatherTopK<c10::BFloat16, u...         0.00%       0.000us         0.00%       0.000us       0.000us       5.839ms         1.37%       5.839ms      14.635us           399  
                        triton_red_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       5.050ms         1.18%       5.050ms       2.676us          1887  
          triton_poi_fused_gelu_marlin_gemm_mul_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us       4.844ms         1.13%       4.844ms       2.567us          1887  
                           _sparse_argmax_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.630ms         1.08%       4.630ms      11.604us           399  
