-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.628s       100.73%        1.628s       6.383ms           255  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     691.699ms        42.81%     691.699ms      36.167us         19125  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     611.416ms        37.84%     611.416ms      16.201us         37740  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us      80.115ms         4.96%      80.115ms       8.458us          9472  
                  execute_context_1(30)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      41.305ms         2.56%      41.305ms      41.305ms             1  
        triton_red_fused_add_marlin_gemm_mul_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us      32.846ms         2.03%      32.846ms       3.564us          9216  
            triton_red_fused_add_marlin_gemm_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us      31.657ms         1.96%      31.657ms       3.342us          9472  
                                        reduce_segments         0.00%       0.000us         0.00%       0.000us       0.000us      25.150ms         1.56%      25.150ms       2.666us          9435  
                        triton_red_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      24.342ms         1.51%      24.342ms       2.570us          9472  
          triton_poi_fused_gelu_marlin_gemm_mul_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      21.925ms         1.36%      21.925ms       2.315us          9472  
                                        _C::marlin_gemm         0.55%       8.729ms         1.68%      26.512ms      55.349us      15.580ms         0.96%      15.637ms      32.645us           479  
                triton_poi_fused_gelu_marlin_gemm_mul_3         0.00%       0.000us         0.00%       0.000us       0.000us      13.907ms         0.86%      13.907ms       1.468us          9472  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us       9.361ms         0.58%       9.361ms      36.568us           256  
                                     triton_poi_fused_6         0.00%       0.000us         0.00%       0.000us       0.000us       9.018ms         0.56%       9.018ms       1.761us          5120  
                         reshape_and_cache_kernel_flash         0.00%       0.000us         0.00%       0.000us       0.000us       8.827ms         0.55%       8.827ms       1.642us          5376  
                                     triton_per_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us       8.521ms         0.53%       8.521ms       1.664us          5120  
                                            aten::copy_         2.92%      46.029ms         6.73%     106.116ms      15.943us       7.849ms         0.49%       7.849ms       1.179us          6656  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us       7.476ms         0.46%       7.476ms       1.825us          4096  
