-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(7)         0.00%       0.000us         0.00%       0.000us       0.000us     580.946ms       101.01%     580.946ms      14.524ms            40  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     132.930ms        23.11%     132.930ms      39.097us          3400  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     120.697ms        20.98%     120.697ms      17.961us          6720  
                                               aten::mm         0.38%       2.384ms         0.50%       3.102ms      52.570us     114.806ms        19.96%     114.806ms       1.946ms            59  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us     111.867ms        19.45%     111.867ms       2.797ms            40  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us      99.550ms        17.31%      99.550ms      36.789us          2706  
                  execute_context_1(40)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      67.056ms        11.66%      67.056ms      67.056ms             1  
                    vllm::unified_attention_with_output        29.28%     183.378ms        37.40%     234.216ms     228.281us      19.358ms         3.37%      19.358ms      18.867us          1026  
## Call CompiledFxGraph fvdcvq6634rk2dljtuzho5kd6eyl...         0.00%       0.000us         0.00%       0.000us       0.000us      12.053ms         2.10%      12.053ms     753.295us            16  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      10.256ms         1.78%      10.256ms       6.962us          1473  
                                        _C::marlin_gemm         0.84%       5.237ms         2.49%      15.595ms      61.642us       9.471ms         1.65%       9.471ms      37.435us           253  
## Call CompiledFxGraph f5yv4wte7hd57ao56bvezpebn35n...         0.00%       0.000us         0.00%       0.000us       0.000us       8.427ms         1.47%       8.427ms     702.279us            12  
        triton_red_fused_add_marlin_gemm_mul_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us       6.037ms         1.05%       6.037ms       3.591us          1681  
                                            aten::copy_         3.98%      24.934ms         9.44%      59.109ms      17.457us       6.022ms         1.05%       6.022ms       1.779us          3386  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       5.947ms         1.03%       5.947ms       4.855us          1225  
            triton_red_fused_add_marlin_gemm_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us       5.798ms         1.01%       5.798ms       3.367us          1722  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us       5.506ms         0.96%       5.506ms      27.124us           203  
