-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_1(512)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      97.837ms        82.53%      97.837ms      97.837ms             1  
                                        _C::marlin_gemm         7.06%      11.036ms        20.54%      32.121ms      63.481us      78.225ms        65.99%      78.225ms     154.596us           506  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      69.867ms        58.94%      69.867ms     267.689us           261  
                  execute_context_1(52)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      41.806ms        35.27%      41.806ms      41.806ms             1  
## Call CompiledFxGraph fogxrrx7ptc5qun47kozrv5cpv25...         0.00%       0.000us         0.00%       0.000us       0.000us      33.882ms        28.58%      33.882ms       1.059ms            32  
## Call CompiledFxGraph fnlyzu27i6mzcfuxsxc52ggfz2ww...         0.00%       0.000us         0.00%       0.000us       0.000us      28.570ms        24.10%      28.570ms       1.190ms            24  
                               matmul_kernel_persistent         0.00%       0.000us         0.00%       0.000us       0.000us      21.806ms        18.39%      21.806ms      94.808us           230  
                    vllm::unified_attention_with_output        12.94%      20.237ms        16.95%      26.505ms     200.796us      10.244ms         8.64%      10.244ms      77.608us           132  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us      10.244ms         8.64%      10.244ms      77.608us           132  
## Call CompiledFxGraph fgjmv76rnqi3ranw3pygv75pmf47...         0.00%       0.000us         0.00%       0.000us       0.000us       9.049ms         7.63%       9.049ms       1.131ms             8  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us       8.359ms         7.05%       8.359ms      34.117us           245  
## Call CompiledFxGraph ffoz5xl3wf32unygksle4vcimvmn...         0.00%       0.000us         0.00%       0.000us       0.000us       7.599ms         6.41%       7.599ms       1.266ms             6  
## Call CompiledFxGraph fs4asf7pc5rpnzz2tqk4d56jbumt...         0.00%       0.000us         0.00%       0.000us       0.000us       7.467ms         6.30%       7.467ms       1.244ms             6  
## Call CompiledFxGraph fr7jcksuy3g3gdym5vpbmo74sga2...         0.00%       0.000us         0.00%       0.000us       0.000us       6.278ms         5.30%       6.278ms       1.046ms             6  
          triton_poi_fused_gelu_marlin_gemm_mul_slice_1         0.68%       1.061ms         1.13%       1.763ms      20.991us       2.887ms         2.44%       2.887ms      34.368us            84  
          triton_poi_fused_gelu_marlin_gemm_mul_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us       2.887ms         2.44%       2.887ms      34.368us            84  
